VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2.0,2021-07-01 10:57:11,2021-07-01 11:05:09,N,1.0,42,74,1.0,1.41,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,2.0,1.0,0.0
2.0,2021-07-01 10:49:24,2021-07-01 10:49:48,N,1.0,41,41,1.0,0.03,2.5,0.0,0.5,0.0,0.0,,0.3,3.3,2.0,1.0,0.0
1.0,2021-07-01 10:17:37,2021-07-01 10:27:23,N,1.0,75,140,0.0,1.8,8.5,2.75,0.5,0.0,0.0,,0.3,12.05,2.0,1.0,2.75
2.0,2021-07-01 10:27:54,2021-07-01 10:40:01,N,1.0,196,56,1.0,1.27,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,2.0,1.0,0.0
2.0,2021-07-01 10:41:47,2021-07-01 10:49:55,N,1.0,82,129,1.0,1.07,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
1.0,2021-07-01 10:44:44,2021-07-01 11:12:42,N,1.0,42,161,1.0,6.8,24.0,2.75,0.5,2.0,0.0,,0.3,29.55,1.0,1.0,2.75
2.0,2021-07-01 10:26:19,2021-07-01 10:32:24,N,1.0,7,7,1.0,0.75,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,2.0,1.0,0.0
2.0,2021-07-01 10:16:48,2021-07-01 10:24:46,N,1.0,166,238,1.0,1.69,8.0,0.0,0.5,0.0,0.0,,0.3,11.55,2.0,1.0,2.75
1.0,2021-07-01 10:41:28,2021-07-01 10:54:51,N,1.0,166,42,1.0,1.1,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,2.0,1.0,0.0
1.0,2021-07-01 10:31:55,2021-07-01 10:48:05,N,1.0,74,262,2.0,2.5,12.5,2.75,0.5,0.0,0.0,,0.3,16.05,2.0,1.0,2.75
2.0,2021-07-01 10:44:11,2021-07-01 10:48:18,N,1.0,41,151,1.0,1.0,5.0,0.0,0.5,1.16,0.0,,0.3,6.96,1.0,1.0,0.0
2.0,2021-07-01 08:46:30,2021-07-01 08:59:35,N,1.0,181,89,2.0,2.0,10.5,0.0,0.5,2.26,0.0,,0.3,13.56,1.0,1.0,0.0
1.0,2021-07-01 10:24:30,2021-07-01 10:29:16,N,1.0,74,75,1.0,1.1,5.5,0.0,0.5,2.0,0.0,,0.3,8.3,1.0,1.0,0.0
1.0,2021-07-01 10:35:18,2021-07-01 11:00:31,N,1.0,75,68,1.0,5.9,21.5,2.75,0.5,5.01,0.0,,0.3,30.06,1.0,1.0,2.75
2.0,2021-07-01 10:19:01,2021-07-01 10:36:26,N,1.0,75,152,1.0,3.14,14.0,0.0,0.5,0.0,0.0,,0.3,14.8,2.0,1.0,0.0
2.0,2021-07-01 10:46:54,2021-07-01 10:47:36,N,1.0,41,42,1.0,0.04,2.5,0.0,0.5,0.0,0.0,,0.3,3.3,2.0,1.0,0.0
2.0,2021-07-01 10:57:44,2021-07-01 11:04:30,N,1.0,74,74,1.0,0.82,6.0,0.0,0.5,1.02,0.0,,0.3,7.82,1.0,1.0,0.0
1.0,2021-07-01 10:50:07,2021-07-01 11:06:36,N,1.0,82,7,1.0,2.6,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,2.0,1.0,0.0
1.0,2021-07-01 10:11:55,2021-07-01 10:24:00,N,1.0,95,121,1.0,2.8,11.5,0.0,0.5,0.0,0.0,,0.3,12.3,1.0,1.0,0.0
1.0,2021-07-01 10:48:58,2021-07-01 10:57:46,N,1.0,95,102,1.0,2.1,9.0,0.0,0.5,1.95,0.0,,0.3,11.75,1.0,1.0,0.0
2.0,2021-07-01 10:53:09,2021-07-01 11:05:18,N,1.0,116,151,1.0,2.82,11.0,0.0,0.5,0.0,0.0,,0.3,11.8,2.0,1.0,0.0
2.0,2021-07-01 10:16:39,2021-07-01 11:43:47,N,1.0,173,14,1.0,23.7,76.0,0.0,0.5,0.0,6.55,,0.3,83.35,1.0,1.0,0.0
2.0,2021-07-01 10:09:56,2021-07-01 10:20:07,N,5.0,215,215,2.0,1.04,20.0,0.0,0.5,0.0,0.0,,0.3,20.8,2.0,1.0,0.0
2.0,2021-07-01 10:36:09,2021-07-01 10:45:22,N,1.0,65,97,1.0,0.99,7.0,0.0,0.5,1.56,0.0,,0.3,9.36,1.0,1.0,0.0
2.0,2021-07-01 10:21:42,2021-07-01 11:52:03,N,1.0,40,76,1.0,21.58,75.0,0.0,0.5,0.0,0.0,,0.3,75.8,1.0,1.0,0.0
2.0,2021-07-01 10:49:04,2021-07-01 11:03:19,N,1.0,25,49,1.0,0.96,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,2.0,1.0,0.0
1.0,2021-07-01 10:29:25,2021-07-01 10:40:57,N,1.0,33,33,1.0,0.0,10.2,0.0,0.5,0.0,0.0,,0.3,11.0,1.0,1.0,0.0
2.0,2021-07-01 10:31:55,2021-07-01 10:34:01,N,1.0,74,74,1.0,0.24,3.5,0.0,0.5,0.0,0.0,,0.3,4.3,2.0,1.0,0.0
2.0,2021-07-01 10:41:41,2021-07-01 10:50:22,N,1.0,74,75,1.0,1.06,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
2.0,2021-07-01 10:52:07,2021-07-01 11:03:28,N,1.0,75,236,1.0,0.93,8.5,0.0,0.5,2.41,0.0,,0.3,14.46,1.0,1.0,2.75
2.0,2021-07-01 10:33:59,2021-07-01 10:58:02,N,1.0,75,48,1.0,3.93,18.0,0.0,0.5,5.39,0.0,,0.3,26.94,1.0,1.0,2.75
2.0,2021-07-01 09:59:57,2021-07-01 10:02:53,N,1.0,75,41,6.0,1.12,5.0,0.0,0.5,0.0,0.0,,0.3,5.8,2.0,1.0,0.0
2.0,2021-07-01 10:14:57,2021-07-01 10:18:45,N,1.0,75,75,6.0,0.45,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,2.0,1.0,0.0
2.0,2021-07-01 10:36:04,2021-07-01 10:48:44,N,1.0,75,42,6.0,2.46,11.0,0.0,0.5,0.0,0.0,,0.3,11.8,2.0,1.0,0.0
2.0,2021-07-01 10:53:34,2021-07-01 10:59:46,N,1.0,42,74,6.0,1.08,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0
2.0,2021-07-01 10:25:45,2021-07-01 10:40:20,N,1.0,7,135,1.0,7.52,22.5,0.0,0.5,0.0,0.0,,0.3,23.3,2.0,1.0,0.0
1.0,2021-07-01 10:32:43,2021-07-01 10:53:17,N,1.0,41,68,1.0,5.6,20.0,2.75,0.5,0.0,0.0,,0.3,23.55,2.0,1.0,2.75
1.0,2021-07-01 10:20:16,2021-07-01 10:40:36,N,1.0,225,97,1.0,2.7,14.5,0.0,0.5,0.0,0.0,,0.3,15.3,2.0,1.0,0.0
2.0,2021-07-01 10:40:03,2021-07-01 11:01:16,N,1.0,33,162,1.0,7.48,23.5,0.0,0.5,5.41,0.0,,0.3,32.46,1.0,1.0,2.75
1.0,2021-07-01 10:52:32,2021-07-01 11:20:12,N,1.0,129,233,2.0,5.2,21.0,2.75,0.5,5.0,0.0,,0.3,29.55,1.0,1.0,2.75
2.0,2021-07-01 10:56:35,2021-07-01 11:16:44,N,1.0,75,142,1.0,3.12,15.0,0.0,0.5,0.0,0.0,,0.3,18.55,2.0,1.0,2.75
2.0,2021-07-01 10:02:41,2021-07-01 10:06:48,N,1.0,74,75,1.0,0.67,4.5,0.0,0.5,1.59,0.0,,0.3,6.89,1.0,1.0,0.0
2.0,2021-07-01 10:30:20,2021-07-01 10:46:45,N,1.0,74,236,1.0,2.66,12.5,0.0,0.5,1.6,0.0,,0.3,17.65,1.0,1.0,2.75
2.0,2021-07-01 10:01:08,2021-07-01 10:05:41,N,1.0,42,41,1.0,0.75,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,2.0,1.0,0.0
2.0,2021-07-01 10:31:28,2021-07-01 10:40:35,N,1.0,74,263,1.0,1.73,8.0,0.0,0.5,1.76,0.0,,0.3,10.56,1.0,1.0,0.0
2.0,2021-07-01 10:01:04,2021-07-01 10:07:19,N,1.0,74,74,1.0,0.98,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,1.0,1.0,0.0
2.0,2021-07-01 10:31:56,2021-07-01 10:44:00,N,1.0,74,236,1.0,1.95,9.5,0.0,0.5,2.61,0.0,,0.3,15.66,1.0,1.0,2.75
2.0,2021-07-01 10:53:14,2021-07-01 11:02:18,N,1.0,7,223,1.0,1.52,8.5,0.0,0.5,2.79,0.0,,0.3,12.09,1.0,1.0,0.0
2.0,2021-07-01 10:29:52,2021-07-01 10:33:35,N,1.0,42,116,1.0,0.61,4.5,0.0,0.5,2.0,0.0,,0.3,7.3,1.0,1.0,0.0
2.0,2021-07-01 10:27:23,2021-07-01 10:48:58,N,1.0,42,116,1.0,6.34,22.5,0.0,0.5,0.0,0.0,,0.3,23.3,2.0,1.0,0.0
2.0,2021-07-01 10:03:52,2021-07-01 10:23:56,N,1.0,41,48,1.0,5.16,19.5,0.0,0.5,2.0,0.0,,0.3,25.05,1.0,1.0,2.75
2.0,2021-07-01 10:48:35,2021-07-01 11:02:47,N,1.0,166,244,1.0,4.0,15.0,0.0,0.5,0.0,0.0,,0.3,15.8,2.0,1.0,0.0
1.0,2021-07-01 10:08:32,2021-07-01 10:27:11,N,1.0,74,141,1.0,0.0,15.2,0.0,0.5,0.0,0.0,,0.3,16.0,1.0,1.0,0.0
1.0,2021-07-01 10:58:31,2021-07-01 11:13:01,N,1.0,166,244,1.0,3.5,14.0,0.0,0.5,2.95,0.0,,0.3,17.75,1.0,1.0,0.0
2.0,2021-07-01 10:10:37,2021-07-01 10:37:38,N,2.0,74,132,2.0,17.6,52.0,0.0,0.5,0.0,6.55,,0.3,59.35,2.0,1.0,0.0
1.0,2021-07-01 10:01:34,2021-07-01 10:28:44,N,1.0,116,241,1.0,7.3,26.0,0.0,0.5,5.35,0.0,,0.3,32.15,1.0,1.0,0.0
1.0,2021-07-01 10:43:25,2021-07-01 10:56:59,N,1.0,165,22,1.0,0.0,10.2,0.0,0.5,0.0,0.0,,0.3,11.0,1.0,1.0,0.0
1.0,2021-07-01 10:10:04,2021-07-01 10:34:34,N,1.0,136,51,1.0,0.0,18.2,0.0,0.5,0.0,0.0,,0.3,19.0,1.0,1.0,0.0
2.0,2021-07-01 10:08:20,2021-07-01 10:22:14,N,5.0,41,238,1.0,1.88,12.0,0.0,0.0,0.0,0.0,,0.3,15.05,2.0,2.0,2.75
